"","LABID","Rep1","Rep2","overlapping.genos","mismatches"
"1","z0196894","z0196894.GTseq.prod","z0196894b.GTseq.prod",242,0
"2","z0196894","z0196894.GTseq.prod","z0196894.RunMS54",245,140
"3","z0196894","z0196894.GTseq.prod","z0196894.RunMS58",246,2
"4","z0196894","z0196894b.GTseq.prod","z0196894.RunMS54",267,154
"5","z0196894","z0196894b.GTseq.prod","z0196894.RunMS58",267,3
"6","z0196894","z0196894.RunMS54","z0196894.RunMS58",306,177
"7","z0051185","z0051185b.GTseq.prod","z0051185.GTseq.prod",266,1
"8","z0051185","z0051185b.GTseq.prod","z0051185.RunMS51",264,1
"9","z0051185","z0051185.GTseq.prod","z0051185.RunMS51",313,0
"10","z0043504","z0043504.GTseq.prod","z0043504b.GTseq.prod",295,1
"11","z0043504","z0043504.GTseq.prod","z0043504.RunMS54",1,0
"12","z0043504","z0043504b.GTseq.prod","z0043504.RunMS54",1,0
"13","z0068471","z0068471b.GTseq.prod","z0068471.GTseq.prod",60,1
"14","z0195770","z0195770b.GTseq.prod","z0195770.GTseq.prod",17,2
"15","z0195770","z0195770b.GTseq.prod","z0195770.RunMS51",1,0
"16","z0195770","z0195770b.GTseq.prod","z0195770.RunMS58",18,2
"17","z0195770","z0195770.GTseq.prod","z0195770.RunMS51",1,0
"18","z0195770","z0195770.GTseq.prod","z0195770.RunMS58",104,2
"19","z0195770","z0195770.RunMS51","z0195770.RunMS58",1,0
"20","z0053759","z0053759b.GTseq.prod","z0053759.GTseq.prod",1,0
"21","z0053759","z0053759b.GTseq.prod","z0053759.RunMS51",306,1
"22","z0053759","z0053759.GTseq.prod","z0053759.RunMS51",1,0
"23","z0045332","z0045332b.GTseq.prod","z0045332.GTseq.prod",281,0
"24","z0045332","z0045332b.GTseq.prod","z0045332.RunMS51",283,1
"25","z0045332","z0045332.GTseq.prod","z0045332.RunMS51",284,0
"26","z0195708","z0195708.GTseq.prod","z0195708b.GTseq.prod",262,1
"27","z0195708","z0195708.GTseq.prod","z0195708.RunMS51",286,0
"28","z0195708","z0195708b.GTseq.prod","z0195708.RunMS51",265,1
"29","z0043491","z0043491b.GTseq.prod","z0043491.GTseq.prod",265,1
"30","z0043491","z0043491b.GTseq.prod","z0043491.RunMS54",77,0
"31","z0043491","z0043491.GTseq.prod","z0043491.RunMS54",76,0
"32","z0053078","z0053078.GTseq.prod","z0053078b.GTseq.prod",10,0
"33","z0053078","z0053078.GTseq.prod","z0053078b.RunMS54",261,2
"34","z0053078","z0053078.GTseq.prod","z0053078.RunMS54",260,2
"35","z0053078","z0053078b.GTseq.prod","z0053078b.RunMS54",10,0
"36","z0053078","z0053078b.GTseq.prod","z0053078.RunMS54",10,0
"37","z0053078","z0053078b.RunMS54","z0053078.RunMS54",306,0
"38","z0195724","z0195724.GTseq.prod","z0195724b.GTseq.prod",247,0
"39","z0195724","z0195724.GTseq.prod","z0195724.RunMS54",196,7
"40","z0195724","z0195724b.GTseq.prod","z0195724.RunMS54",189,5
"41","z0108513","z0108513b.GTseq.prod","z0108513.GTseq.prod",197,0
"42","z0108513","z0108513b.GTseq.prod","z0108513.RunMS51",14,0
"43","z0108513","z0108513b.GTseq.prod","z0108513.RunMS58",217,3
"44","z0108513","z0108513b.GTseq.prod","z0108513b.RunMS58",10,1
"45","z0108513","z0108513.GTseq.prod","z0108513.RunMS51",13,0
"46","z0108513","z0108513.GTseq.prod","z0108513.RunMS58",206,1
"47","z0108513","z0108513.GTseq.prod","z0108513b.RunMS58",10,1
"48","z0108513","z0108513.RunMS51","z0108513.RunMS58",14,0
"49","z0108513","z0108513.RunMS51","z0108513b.RunMS58",7,0
"50","z0108513","z0108513.RunMS58","z0108513b.RunMS58",11,1
"51","z0055912","z0055912.GTseq.prod","z0055912b.GTseq.prod",156,2
"52","z0055912","z0055912.GTseq.prod","z0055912.RunMS54",250,2
"53","z0055912","z0055912b.GTseq.prod","z0055912.RunMS54",155,2
"54","z0061980","z0061980.GTseq.prod","z0061980b.GTseq.prod",248,1
"55","z0061980","z0061980.GTseq.prod","z0061980.RunMS51",319,0
"56","z0061980","z0061980b.GTseq.prod","z0061980.RunMS51",247,0
"57","z0041250","z0041250b.GTseq.prod","z0041250.GTseq.prod",144,0
"58","z0041250","z0041250b.GTseq.prod","z0041250.RunMS54",144,4
"59","z0041250","z0041250b.GTseq.prod","z0041250.RunMS58",191,3
"60","z0041250","z0041250.GTseq.prod","z0041250.RunMS54",117,1
"61","z0041250","z0041250.GTseq.prod","z0041250.RunMS58",147,2
"62","z0041250","z0041250.RunMS54","z0041250.RunMS58",176,3
"63","z0043477","z0043477.GTseq.prod","z0043477b.GTseq.prod",255,1
"64","z0043477","z0043477.GTseq.prod","z0043477.RunMS54",277,1
"65","z0043477","z0043477b.GTseq.prod","z0043477.RunMS54",258,3
"66","z0041494","z0041494.GTseq.prod","z0041494b.GTseq.prod",258,1
"67","z0041494","z0041494.GTseq.prod","z0041494.RunMS54",138,2
"68","z0041494","z0041494b.GTseq.prod","z0041494.RunMS54",133,1
"69","z0029833","z0029833b.GTseq.prod","z0029833.GTseq.prod",244,2
"70","z0029833","z0029833b.GTseq.prod","z0029833.RunMS51",295,3
"71","z0029833","z0029833.GTseq.prod","z0029833.RunMS51",242,3
"72","z0107080","z0107080b.GTseq.prod","z0107080.GTseq.prod",46,1
"73","z0107080","z0107080b.GTseq.prod","z0107080.RunMS51",281,2
"74","z0107080","z0107080.GTseq.prod","z0107080.RunMS51",46,1
"75","z0196825","z0196825b.GTseq.prod","z0196825.GTseq.prod",238,4
"76","z0196825","z0196825b.GTseq.prod","z0196825.RunMS54",307,0
"77","z0196825","z0196825.GTseq.prod","z0196825.RunMS54",235,3
